FIPS,week,pos_results,days_by_10kpop,youth,seniors,hispanic_pop,black_pop,asian_pop,pov_prop,bac_prop,total_pop
06001,2020-04-27/2020-05-03,68.0,334.2658,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-05-04/2020-05-10,342.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-05-11/2020-05-17,362.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-05-18/2020-05-24,674.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-05-25/2020-05-31,642.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-06-01/2020-06-07,626.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-06-08/2020-06-14,751.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-06-15/2020-06-21,903.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-06-22/2020-06-28,1156.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-06-29/2020-07-05,1451.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-07-06/2020-07-12,1544.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-07-13/2020-07-19,1923.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-07-20/2020-07-26,1562.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-07-27/2020-08-02,1827.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-08-03/2020-08-09,1763.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-08-10/2020-08-16,1934.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-08-17/2020-08-23,1510.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-08-24/2020-08-30,1304.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-08-31/2020-09-06,1004.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-09-07/2020-09-13,726.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-09-14/2020-09-20,810.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-09-21/2020-09-27,757.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-09-28/2020-10-04,590.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-10-05/2020-10-11,692.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-10-12/2020-10-18,680.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-10-19/2020-10-25,665.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-10-26/2020-11-01,737.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
06001,2020-11-02/2020-11-08,1100.0,1169.9303,0.2848290193014059,0.1428581685592721,0.2232085962727865,0.1282763597113435,0.3554063861753131,0.7265663998344692,0.4296467718914125,1671329.0
